cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1740963600|MSZZ|XAUUSD|5|2|-1|1740774300|1740777000;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.03 01:00:00;2025.03.03 01:05:00;2025.03.06 13:35:00;2873.48000000;2953.54000000;2713.36000000;2906.96000000;OTHER;-0.4182;0.1830;-0.7068;1014;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741267800|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 13:30:00;2025.03.06 13:35:00;2025.03.07 02:14:58;2906.96000000;2898.60000000;2923.68000000;2898.60000000;SL;-1.0000;1.8888;-1.4510;151;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741336200|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.07 08:30:00;2025.03.07 08:35:00;2025.03.18 07:54:58;2913.48000000;2861.85000000;3016.74000000;3016.74000000;TP;2.0000;2.0126;-0.6444;3159;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742335200|MSZZ|XAUUSD|5|2|1|1742327700|1742329800;1003;XAUUSD;PERIOD_M5;LONG;2025.03.18 22:00:00;2025.03.18 22:05:00;2025.03.21 22:05:00;3036.76000000;2906.00000000;3298.28000000;3016.40000000;OTHER;-0.1557;0.1575;-0.2846;864;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742594400|MSZZ|XAUUSD|5|2|-1|1742589900|1742592300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.21 22:00:00;2025.03.21 22:05:00;2025.03.21 22:24:58;3016.40000000;3021.64000000;3005.92000000;3021.64000000;SL;-1.0000;0.0401;-1.0782;3;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742597100|MSZZ|XAUUSD|5|2|-1|1742589900|1742592300;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.21 22:45:00;2025.03.21 22:50:00;2025.03.21 23:04:58;3020.26000000;3021.64000000;3017.50000000;3021.64000000;SL;-1.0000;0.4710;-0.8841;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742778900|MSZZ|XAUUSD|5|2|1|1742778000|1742778000;1003;XAUUSD;PERIOD_M5;LONG;2025.03.24 01:15:00;2025.03.24 01:20:00;2025.03.24 03:54:58;3025.87000000;3019.61000000;3038.39000000;3019.61000000;SL;-1.0000;0.0687;-1.2396;30;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742795700|MSZZ|XAUUSD|5|2|-1|1742788500|1742789400;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 05:55:00;2025.03.24 06:00:00;2025.03.24 09:40:00;3016.31000000;3025.67000000;2997.59000000;3023.43000000;OTHER;-0.7607;0.0662;-0.9145;44;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742808900|MSZZ|XAUUSD|5|2|1|1742804700|1742807400;1003;XAUUSD;PERIOD_M5;LONG;2025.03.24 09:35:00;2025.03.24 09:40:00;2025.03.24 15:50:00;3023.43000000;2984.34000000;3101.61000000;3024.37000000;OTHER;0.0240;0.2517;-0.0624;74;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742831100|MSZZ|XAUUSD|5|2|-1|1742820600|1742822400;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 15:45:00;2025.03.24 15:50:00;2025.03.24 18:09:57;3024.37000000;3033.27000000;3006.57000000;3006.57000000;TP;2.0000;2.0933;-0.4393;27;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742872800|MSZZ|XAUUSD|5|2|1|1742868300|1742871600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.25 03:20:00;2025.03.25 03:25:00;2025.03.25 21:20:00;3011.67000000;2996.88000000;3041.25000000;3020.21000000;OTHER;0.5774;1.6444;-0.2725;215;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742937300|MSZZ|XAUUSD|5|2|-1|1742927400|1742931000;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.27 13:09:58;3020.21000000;3045.39000000;2969.85000000;3045.39000000;SL;-1.0000;0.3090;-1.0314;477;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743081300|MSZZ|XAUUSD|5|2|1|1743060900|1743061500;1003;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:15:00;2025.03.27 13:20:00;2025.03.27 16:14:58;3049.79000000;3045.75000000;3057.87000000;3045.75000000;SL;-1.0000;1.5272;-1.2005;34;London
