cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1740963600|MSZZ|XAUUSD|5|2|-1|1740774300|1740778500;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.03 01:00:00;2025.03.03 01:05:00;2025.03.06 13:35:00;2873.48000000;2953.54000000;2713.36000000;2906.96000000;OTHER;-0.4182;0.1830;-0.7068;1014;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741267800|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.06 13:30:00;2025.03.06 13:35:00;2025.03.07 02:14:58;2906.96000000;2898.60000000;2923.68000000;2898.60000000;SL;-1.0000;1.8888;-1.4510;151;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1741336200|MSZZ|XAUUSD|5|2|1|1740963600|1740963600;1003;XAUUSD;PERIOD_M5;LONG;2025.03.07 08:30:00;2025.03.07 08:35:00;2025.03.18 06:14:58;2913.48000000;2863.75000000;3012.94000000;3012.94000000;TP;2.0000;2.0161;-0.6690;3139;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742367000|MSZZ|XAUUSD|5|2|1|1742336100|1742340900;1003;XAUUSD;PERIOD_M5;LONG;2025.03.19 06:50:00;2025.03.19 06:55:00;2025.03.24 05:50:00;3038.04000000;2906.00000000;3302.12000000;3017.47000000;OTHER;-0.1558;0.1462;-0.2916;1427;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742795100|MSZZ|XAUUSD|5|2|-1|1742788500|1742789400;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 05:45:00;2025.03.24 05:50:00;2025.03.24 09:40:00;3017.47000000;3025.67000000;3001.07000000;3023.43000000;OTHER;-0.7268;0.2171;-0.9024;46;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742808900|MSZZ|XAUUSD|5|2|1|1742804700|1742807700;1003;XAUUSD;PERIOD_M5;LONG;2025.03.24 09:35:00;2025.03.24 09:40:00;2025.03.24 15:50:00;3023.43000000;2984.34000000;3101.61000000;3024.37000000;OTHER;0.0240;0.2517;-0.0624;74;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742831100|MSZZ|XAUUSD|5|2|-1|1742820600|1742822700;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.24 15:45:00;2025.03.24 15:50:00;2025.03.24 18:09:57;3024.37000000;3033.27000000;3006.57000000;3006.57000000;TP;2.0000;2.0933;-0.4393;27;London
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1742867400|MSZZ|XAUUSD|5|2|1|1742859900|1742866500;1003;XAUUSD;PERIOD_M5;LONG;2025.03.25 01:50:00;2025.03.25 01:55:00;2025.03.25 21:20:00;3011.91000000;2996.88000000;3041.97000000;3020.21000000;OTHER;0.5522;1.6021;-0.2841;233;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:3|67:BO|XAUUSD|5|2|S|1742937300|MSZZ|XAUUSD|5|2|-1|1742927400|1742931900;1003;XAUUSD;PERIOD_M5;SHORT;2025.03.25 21:15:00;2025.03.25 21:20:00;2025.03.27 13:09:58;3020.21000000;3045.39000000;2969.85000000;3045.39000000;SL;-1.0000;0.3090;-1.0314;477;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:3|66:BO|XAUUSD|5|2|L|1743081300|MSZZ|XAUUSD|5|2|1|1743060900|1743061500;1003;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:15:00;2025.03.27 13:20:00;2025.03.27 16:14:58;3049.79000000;3045.75000000;3057.87000000;3045.75000000;SL;-1.0000;1.5272;-1.2005;34;London
